Unit (n),ETH Input (Cumulative),Issued Tokens,Cumulative Supply,Buy Price (ETH),Spread,Sell Price (ETH),Weight
0,0,0.0,0.0,1.000000e-04,,nan,
1,100,1000000.0,1000000.0,1.000000e-04,0.8998410174880763,1.001590e-05,0.0
2,200,755637.5742587895,1755637.5742587894,1.323386e-04,0.8996820349761526,1.327594e-05,0.3233857527279627
3,300,594404.0799360265,2350041.654194816,1.682357e-04,0.8995230524642289,1.690381e-05,0.5656313953865674
4,400,499080.6945475915,2849122.3487424077,2.003684e-04,0.8993640699523052,2.016426e-05,0.7549273256554351
5,500,435854.12824644387,3284976.4769888516,2.294346e-04,0.8992050874403815,2.312584e-05,0.9130191447427299
6,600,390388.812731043,3675365.2897198945,2.561549e-04,0.8990461049284578,2.585983e-05,1.0504566706896536
7,700,355831.0147897861,4031196.3045096807,2.810323e-04,0.8988871224165341,2.841598e-05,1.1730661653737386
8,800,328495.9764107683,4359692.280920449,3.044177e-04,0.8987281399046104,3.082895e-05,1.2844205607796793
9,900,306218.25236917334,4665910.5332896225,3.265645e-04,0.8985691573926867,3.312371e-05,1.3868830834814676
10,1000,287636.194731533,4953546.728021155,3.476614e-04,0.898410174880763,3.531886e-05,1.482106828205846
11,1100,271847.26249883603,5225393.990519991,3.678536e-04,0.8982511923688393,3.742867e-05,1.5712987602726252
12,1200,258227.52055962358,5483621.511079615,3.872554e-04,0.8980922098569156,3.946434e-05,1.655370370185025
13,1300,246330.57827197533,5729952.089351591,4.059585e-04,0.8979332273449919,4.143488e-05,1.7350290274067321
14,1400,235827.83332609152,5965779.922677683,4.240382e-04,0.8977742448330682,4.334762e-05,1.8108361574798197
15,1500,226471.5036920765,6192251.426369759,4.415567e-04,0.8976152623211445,4.520866e-05,1.8832458152534655
16,1600,218070.86949470526,6410322.295864465,4.585665e-04,0.8974562798092208,4.702312e-05,1.9526311373065508
17,1700,210476.500159276,6620798.79602374,4.751124e-04,0.8972972972972971,4.879533e-05,2.019303008865016
18,1800,203569.4851007286,6824368.281124469,4.912328e-04,0.8971383147853734,5.052903e-05,2.083523564490133
19,1900,197253.89873212329,7021622.179856592,5.069608e-04,0.8969793322734497,5.222744e-05,2.1455161629860977
20,2000,191451.41386486244,7213073.593721454,5.223257e-04,0.896820349761526,5.389339e-05,2.205472896457271
21,2100,186097.37686932724,7399170.970590781,5.373531e-04,0.8966613672496023,5.552933e-05,2.26356033728486
22,2200,181137.89887474827,7580308.86946553,5.520656e-04,0.8965023847376786,5.713747e-05,2.31992400168289
23,2300,176527.66681473207,7756836.536280262,5.664834e-04,0.8963434022257549,5.871975e-05,2.374691862419682
24,2400,172228.2733121202,7929064.809592382,5.806248e-04,0.8961844197138312,6.027790e-05,2.4279771462553623
25,2500,168206.92638557986,8097271.735977962,5.945058e-04,0.8960254372019075,6.181348e-05,2.47988058581633
26,2600,164435.4411672622,8261707.177145224,6.081414e-04,0.8958664546899838,6.332792e-05,2.5304922501137534
27,2700,160889.44372901446,8422596.62087424,6.215448e-04,0.8957074721780601,6.482248e-05,2.5798930458999307
28,2800,157547.7363403505,8580144.35721459,6.347283e-04,0.8955484896661364,6.629833e-05,2.6281559591840713
